per,ncli,nd,mttr,nticket
2,0aa0a86c9844e8a6f3e979d159c5a548,fe491cd1a2b5e2fe20a9fe50095744d2,48.02,1
5,2c930970c514fe0e22c129f56a044f5e,74d3af753297b4925d89b98d7c12deb4,1.97,1
3,41b103fdad35a098151cf5bb49cd670c,32b7d0fa54ea4399876cc9e779dc8881,15.84,1
2,06d5363927ffcf8f8d3fadd800eaee76,b65448348df3bb4d7a3361a7e4e33e6c,0.37,1
4,06926d5fab74263003c54efa859a9dac,5a29b7423a757cf28ae4a794edfcf72b,77.54,1
4,106c33518721de268ba6d240e9727c02,6a14bd3ee9c31495c066d7423ed37bfb,0.0,1
6,bc1d93ad18df5693ca720bf0e9c2820d,91a3999faefe2d94f9fa5f48303b7c05,18.29,1
4,e72417031f3ecd1a77f0dfa406551aa6,05ec2bfc9c1628fcb93646ce309e0fcb,0.0,1
5,789b2c57eaac295d214622fbf53fa4a4,34258d7b96ad068545e420159cb387a3,0.83,1
6,508314543d10acf917b6b9d7df4e03dd,2b290a85a3fa819414158e2a9aac9fb7,1.18,1
5,47c794692d5a59953637571c57ed5268,d7fb7a752844f9af00e213b1c8206e25,2.82,1
7,8ce179258c81177da8d8d8b1c6cf5a09,9043df760b5d280b7162813327da18fe,1.82,1
2,d4deb76eef31d6791d4cc9ab858efdad,fa3968ce07948ae4861290df1ba62847,0.0,2
3,9be834e7e57e4986139ef92b85294a7d,189c0e60d6c355766649beceb906bec8,19.38,1
5,93afa415d410c56b1314f8822902dfbc,5ed12671dfbf59e61592608f53cf549e,4.94,1
2,a7ab5b8089c454936028854bfc999965,1fe7a1a5a809f526291ae29f701a6185,0.0,1
3,f3f55e852451ab63dc760f7665ce5f06,ef20329312386681561b758358c32e63,43.23,1
2,88525517600bc6918a1453ac5eaeec6d,e7578622f718f51ba65d473e6556f0b5,24.02,1
2,9d5f291f367842f65ff39d85dd3144a7,f758678d28675623fa8f2652ea6faaae,2.69,1
5,2ecf96551b60fd2ef7f806933c3669fc,a86af377d2fcd0ff00dccc03a1db4a6d,18.0,1
5,ef27559c749d35d57b725c7118423c9c,22cd72ed76852fe6254e4cce6196dd99,0.57,1
4,d157edc8e6074c7a049d9ec46b375314,0ef1d0384c82837d16427af805575289,20.45,1
7,052556f629538b4d67abdcfdf9dfd42a,df0df02ff6bf07603f5b0d1cf35cc50b,10.72,1
6,4e656148a19169da0872c17bdba21ae0,a862cd901b411a9e6423ee89f9dfa0e3,17.63,1
5,56c2fa834860afaef2ac499671333593,babe58c8bdaedd07222fadf846faa4bb,17.24,2
7,1f3c776a39c36d29dcd02e4d778c1b56,5e37ffebec6f5d106955a807abe48841,232.64,1
7,42467b3ab0d642e5fffe27fe2c4c1dc3,46ef2c97189afb03128febadead2329d,1.92,1
6,2fe7792c077bcb932f404685e146fab9,5660ae4a07d19f064f1887e746d6f363,6.28,1
5,3f81b5ec73d5ab71a68dc1b39921aec0,e2a55c8d7bc189c46d61f4bdcb7431fe,1.2,1
2,2d2928a9339b0b069a4564fff23b7965,6ae4c9e461858461b53a62d108aded5c,0.0,1
2,d7aa65bbbed46591bc336d15b4b4213a,e0fe292059d994be6d89c9f31893a389,24.08,1
4,d5a068a238845e63bdc53fb91532ad5c,ecbd05d8e2c6a8be851b913119637c5a,1.99,1
4,85a9a88312e864db0a1e1aa740533e1b,b238767114a1d4b345742b5ecea4d0c0,5.95,1
4,cb30e3af39a2188f82d1c73f52fe6011,ec3c869232d4e64ba20c36bd5e149433,15.32,1
6,094ed57fb78f16f995bbd5f7b7650943,def7bb6b3646ff3738cdce566fbafe03,2.4,1
3,0dad246a043b81e5bb37ad7238e0435a,60d6a0247ddad3d86279b38d7ffd3290,0.12,1
7,b6d3f90af75dc7feeec92d0f015c7f1d,6991bdf094814ce0ea8160b9b102d72c,3.31,1
2,90ae14dc289f79c4c31bf4a9ae197def,299b0538a7b58ee347fdd3858afa07ff,0.27,1
2,f78696525652521da3a091b0d045592f,15bc5046de481cfa66d8e1215577a7fb,25.84,1
7,9f9c4fb0080e571dde93a08d910c0e02,173e975980dfa1bbcf2e07861a619b65,1.1,1
3,5ce5d99d7294bfb58142efdba293ce1c,54874f55a841390679f645b3ac3102f9,0.0,1
4,02800c35c21d4c438bfc623b3de769ca,4d4501a848d54ebb21a28c17a1ea8558,0.0,1
5,87a5d9b5acf5f5231d08b68bfeec5df6,55aec41a799581ee71b36688c34bf767,25.9,1
3,c3efd3fd7aadaba643c0d71d553286b0,7d426a984f400afdb094d22a030a08de,11.05,1
3,5ec3f85f8f70189b1ccaa67050fe0e73,478fa2ad13970c2bb70f4a535802debf,5.035,2
4,f028d1becf1cfb08ab369e9958dd15fe,ef7f86789604037fa6833a70a7f6eec4,2.03,1
5,47bdad5ae4f4d43f6f5d57a3b05f665e,311a58956e7cedf7b354d16104da43eb,1.47,1
2,e604e38214c213c113c6ffe65cf3a210,ba969e1372f2578adc886a11200282b0,0.52,1
2,d54c17200fcc54576ae22369704748c0,fb5c64b8b9ca1c94fabc40df4fa51679,0.0,1
6,ce92b2134ae43cc002ce263eae5792d5,fef17aa895edc45faca0162a2ae5cfc3,13.34,1
4,2fc23fbf389fe35bb29ab13113c60885,4f0091c02d0370f705e574039e83c952,3.64,1
7,698139a68e22bc108149a0d3f038e6a5,b7a90cfe5e3fb9ca54e45f496f600d6c,2.2,3
3,1e688db06906567e69703117288e2bb6,48e51560e2482daf3628597f5636e3ea,3.05,1
7,b44d76769e2c4c0301484b0a42d13d3d,70a73563219fe627bb22af7d59c2ed83,6.7,1
4,ff815dd163241594e591be12ed3d8799,ad9b90544fce141784173895736d414c,18.77,1
7,5034711d780e42141352d93867172c2d,cf27f2d5b56fa9fd547f7cfd342d6ee3,18.19,1
5,8df19200dd4219a3d31032f31c11ce07,8c60937a2265a426ca15d135d3baf334,0.68,1
4,3db4db010d5e0ceaeb3ac9b0c61fb4f5,736dc3f921312a05999b4a09448e1c5b,0.45,1
7,5e4e316a25a39d628726b1861cbb18fd,284d404cd328ce07834f557abbff86cc,12.14,1
2,130c0fdccc04a1a302ee465273109f05,2448d7e7036bcf7e9a43ff017576c372,32.85,1
7,bb34f9afcc48049e3c62e2a2bcc2f413,ad262f3974332e89509c469ccc8b35e5,11.28,1
2,5d63297880fc3d6e7b8902ae67122f16,eaa815e8b3960662f16b956637757d3c,0.0,1
7,9d56608d6f0c2dc1728d0cb8001518ed,160d08dcd59598ca2cd4e42b08e5fbc2,15.57,1
5,4716bad0c76a502c399c9f2f433377b4,fe7e400df08eaeb5b7e0cf7fc2fca4a8,23.45,1
3,6565d8df32bad918e0648c0c81543550,ad0b9a06005fe1f5d79b1d4849643562,9.97,1
3,9870c36698b996ede96ab6afa961224e,5b69067373a77a45d6d6ca73a15855b2,19.49,1
6,14b477568ae857af7eb7d58168c27b26,e9cf65334b40b2873fb0c61947c550e9,33.22,1
4,67521eda3a8ac4a641471b2464fb22cd,27f2e4d0dd434f0dc7fc7e181bd25e0c,3.87,1
2,5e8b4e09db3a70b0b0ea46b29fcbba9e,8599e0ba8ed74a1611e940d7b9f97f8e,3.39,1
5,5b9406e1f3ae23e65b6010128a8a9132,c2ef82de8b07df95f765b4d1910b0e00,1.89,1
2,dcc8a355b7f537e890014f746aa4d3cb,c6dd1355263feb2afb9c296cc9e544ff,3.655,2
7,7cb658c8788552a7d9f421eb4a1a328b,4ff782549e3e94b4bf8b542dc37ff0fe,1.47,1
5,5b17e2da7a18c02ba8633d73d2c09813,d564071ae21ee0ceb6f5bc2a00750cfb,14.64,1
4,586e66cb3b0bfa5f885689e6c6c107e5,572743aff3a09bff8b3879343f5f26be,25.78,1
5,a842f9100a3fdc1da9c040d1777024db,66a0852f237a1f6e5d1b05114447ecd9,101.28,1
3,57e96a2a71b8dbfe8401ec90630460fc,6ffd3944702ff8c8a96df526f0285f51,1.223333,6
3,d86f3c0117792846b5c2ad13b1d6190e,7880200b0ac609ade3958d29f6a9b95c,2.33,1
6,6d87ac945c6800895802bd5fa2b368c9,a523bc74c0e7a266090cccfdbdc2e340,7.16,1
5,f9f9511ab0443a66e3215146e5e2ace0,4f3852ff31bfd3496fbfec3df3e8cdb9,1.97,1
3,e66de60a5c6dda8a894a8ab1e0cebc22,59a13e46c0e90e858f70e96d8ae45672,0.0,1
4,63672f71fee870a059f0c100628a62c4,cfc6e327a9148b82806cbe24a3f109ba,0.03,1
5,e801d176f3eb02c68c011bb447d28c3e,62f8c271e26241340de6a945dc427505,18.145,2
6,4f5fdd521c49e72da06e27c8ca1ab020,44fd499f6f0fa2638693706eb6bffb62,2.65,1
5,9c0696713fad11e00a90ea589ab3c195,dacf6079f5f7161059258d223e406a29,37.23,2
6,6c4b8842716a53900eb8ec505d7d8d86,efebcbbdba923701a7e8bfde2b71e7ff,2.6,1
2,8bcc4b47477b37e3b4bd37273fcebcc7,cd0711ef5a0f05a70599fde46912ee7c,4.5,1
4,8da1a40d0fa294748f868f91410439dc,b144af88fce9874bb898bb29a8facd07,0.0,1
7,33c669ef75d6149aca819646151970f1,5a4304ef1a73110c51550b471dd551b4,0.1,1
6,3c31dd79759474e584b8249cff8b2722,fac3188a78d64ec471349670a7b4c8ac,44.84,1
4,95f6b00e47b23232f4dc25c4e7d60421,b7572d3427c00e58f5e7a5c0b25ac666,1.42,1
5,2a1dab07f6fb14ba531360c7b5f7558c,46b6739305d02ed18e3ee4840b0aad9f,1.23,3
3,30ad5c5095ea256e743e1644e19855d6,1835a16936c30320ba8b38e3621e2ad6,4.68,1
4,8cb7428e0abf3f71d9b3a98e1b55d93a,0ff17c073007915c0b9601581478b6a7,5.54,1
3,3d023ac983a54d33cae550266d414091,769a86d57a510cbb29c7b2b9bad0c4c0,7.75,1
5,b05c5be0ca32af19d9945539a099e919,be3bfe1b091eb60f76749ec501ec08bd,1.52,1
3,3f4b9be14a654ab73454d02861333f56,efed646a03a54a5ca1b24e7fcea38476,14.93,1
7,42b985b1d92c90244294b525fa7dfab6,7ebce7adc44df63f65c2991034974c8b,23.3,1
4,d89a5772a39e42cbdb1f35320798551f,812985fe49958be513499eca4c312403,0.71,2
4,59ca94991354b7ec16990c48888d1485,b2d21e6c6335061a4d0fbd133dec4d5a,11.05,1
6,569151110f209ae4661e2813663c59ea,1a9b1a771c54fe941f6a63025bb616c9,28.67,1
5,327feb890e1e50057bbd52a91baf1924,6f9222cfe2d551b728ae7ee53276c66e,0.67,1
5,bc8bfdb78835f57af4c9e14e50f69b27,1b97f8672617e96fa36eacf5187c317d,1.99,1
5,abfc36d2de0933f1d74139a09b991343,cd7089774b6800f858f4d3caa2480680,71.92,1
2,30c2c9b5ae0ccd2c7066577811320fc8,a7d967de83f4f6b2deeabd5748ebc378,1.73,1
4,55e4d82bc8b9009d5d7b9961caf2d55a,3f0a8983dd69a03f75ee9dcd5539c91a,3.96,2
5,eff4ccdd92914a369295d42ad69df31c,1d2ad94bf44689463c89d9105a62d5df,20.31,1
5,34035fb058e2258ba06fbbe29bdd2ad2,a1b767b47497edb38fbc51fd117ddf86,20.425,2
4,671b6a26327efefb28111dd3a0c5e08b,5ffa3a9dabaaa015b3d6f9c1d367a254,0.0,1
5,f436269ef51d8e82f1ca8afc1e070418,b50f35dd991d663b81a21e9124205737,0.0,1
7,ca7f2b4d8100f054092a4b43443c96e8,967731e320064fe16d36ebc74db11e7f,4.35,1
4,96276e618ef0fa98878a7f01e571cb2e,e9252ea384686abb6a34ee85cc7de99e,13.92,1
3,9583022e70697d72955355def5d9295f,f7fe05ae6ec729b2a0f1bf2db55443c2,0.58,1
5,453ecddf3055378d0c29bd885f40a863,78b783bb65a5bd7cf69f898b6edb3552,5.325,2
5,05e27ff4830de2bf5b802b0d0936d7c5,63ea1390aa20fde4da05a9902cc534e9,0.55,1
6,c0b70b5ad347414d25172462ef686d0f,1eb4b16797a1fbcaf13f054c558c236a,0.07,1
2,cf487776a07f9df6a1ec4abec4c1acd1,a226f0d08c2106498ec0e6a5dc8caf4b,3.3,1
4,1d51e19ac34171a17e1cc2144b21de10,81bd411ec079686c553bb676151d8f09,14.52,1
2,c9fa65d38567bb09d33667694dfc9025,d7b308f30119b10e5c5bae76c7c4b5fb,16.4,1
6,8cb270bbd04c18f875c7c1b505a300ff,2aa778bbc68666002cbafe3d719608b8,13.16,1
4,75d737dd82025c01df61d399080adc4c,ca087867df7a4f7a213489a5e4fa0239,1.44,2
4,bdbc7c6055656ad1d7fd4213c89635ff,7272e2437dbf4fcbaa7d6ee3360634a9,0.2,1
3,5e654b28319192741e52598d719f94fe,42b13d106a7c5e613ce12e0bd75c53fc,2.79,1
3,6c2493b5340bb3c7feaa1936445fbafe,da24c6098023e3ee6f3a6c4636a7ce40,14.325,2
6,4080f383f7be874e27d9c941cb936145,ee0bc7f95c38d9de57f61eda2f2007f6,6.42,1
3,e874e7cf1e12de7c8ac3cb00211d19b7,c89b7a155cea998a843e081e908369ff,13.58,1
7,8a774608e3745186345a4e0628581935,ed8104a7336ad85ea6023d65ab1e1021,7.65,2
7,c219e569e4616ae6c58a568dc7bc83b3,46d25297cb25a26991c7a96520af2437,6.53,1
2,932d4780dcf7e7f9d2208e05426e8bf9,b8588bf701b4cc90b974046357499c82,11.25,1
2,e28c7f8f181fa098ed97ef45314581e6,658df57351467d73d01d5ba70be046b6,1.476667,3
3,863f543cc746d818bcaedc32a6f311f7,0e664038ab84e7526b009cb365627508,0.0,1
3,ac35ae40af9ce0b837706033f07d4dcc,0fc158bb87e00f154be056ad86ebe384,1.67,1
3,cd6a54476e7f955fb55bd1a77e6d6e63,020a2861ed90f98c3ac979db61d1794e,3.92,1
4,b48a8c4c9e65dd99f57ccaf4aa7cdba7,a0780c795473735b88f29af0ea4c0ede,19.88,1
4,75a17b9a231652075e92ef6ebe03e179,4dcd2f8d736c4456b9adcbba92304fae,2.425,2
4,ef9d0ee447cc056e6cfe1af0a5365b26,f99eb41496ec001af7309afacfc72112,2.6,1
7,168fc330264eb29082950963d30234c7,651598582336208f9992008291666d76,6.4,1
5,f6789be0a32fb7d7b547c15c4f08e690,a9e17fac017456e03637aab48a4ef889,12.92,1
3,fb9aaf46f42b5051a5a2e8dbd039e3cb,314970051d38e9867e26650cd151a4d0,0.025,2
2,39c39f5e890dae5cb68deacda7237930,0235e289b585cc9e6f3e8d7babcf9230,0.14,2
3,9b441aa8e19f31391efee746c10012ec,da979ddb79ef45300bace197f3a31fa4,0.03,1
7,8703664dccd4b4543d1482c2a5d9e439,31b35ffa1550124c7e26306548a9717c,25.35,1
2,cadc548684984a96f15b3d8c9205dc36,d74728827d5e739608461ec9ad938c7c,3.87,1
6,eb65eb0b2e5713be871a7740f7fa1a6e,65790fc2bf058eb6976564751e16ac12,1.35,1
5,28fc427db98e77dcaf1c04ee936603ba,894e464253dabf7532eaf661fd2883da,1.12,1
3,02875ab16f49a902c0837f89e2dca57d,7f818dbd5a78f50f0e8aeafe412df915,0.05,1
4,4c233951e2e016135eaaa487d9609f15,66f282b59c17649f0eb014cbde460f3a,3.01,1
7,8cae55436e9c2b1873e1837a9aa657d6,e41a952ab3600bd2e19054975cb5b0ad,10.21,2
2,9e5c5c94994fce9984e23764b398cac2,53a5f40fb49317de7b269af6f85593e5,1.59,1
4,13591e480269084a2c6b9ddc24315e45,027c2bd4f7987f43a640a8980b1cd386,4.34,1
5,f9c75f388c3a9c6fbebeec08152c61b4,188157748f89e11ce5d48ce7af52027f,3.77,1
2,f0694ec92268d30826278178af335724,b2706e84bc46a2217ec865b604ecf772,0.0,1
4,e66d921398590d02069bd6e79c2d7fc5,b2d5942b9aafddbb54c1556b8443e36e,0.175,2
